id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
100372,13382,21,0,0,0,0,3,3,3,1,1,1,18
100372,8339,22,0,0,0,0,1,1,1,1,1,1,25
100375,79807,21,0,0,0,0,1,1,1,1,1,1,27
100377,56976,21,0,0,0,0,1,1,1,3,3,3,41
100377,57058,22,0,0,0,0,1,1,1,1,1,1,29
100379,99264,21,0,0,0,0,3,3,3,1,1,1,23
100381,24949,21,0,0,0,0,1,1,1,1,1,1,26
100381,18949,22,0,0,0,0,1,1,1,1,1,1,25
100382,51934,21,0,0,0,0,1,1,1,1,1,2,21
100383,60938,22,0,0,0,0,1,1,1,1,1,1,46
100384,31906,21,1,0,0,0,1,1,1,1,1,1,44
100384,69120,22,0,0,0,0,2,2,2,1,1,1,43
100386,6547,21,0,0,0,0,1,1,1,1,1,1,24
100386,70794,22,0,0,0,0,1,1,1,1,1,1,29
100387,41479,21,1,0,0,0,1,1,1,1,1,1,56
100387,71626,22,1,0,1,0,1,1,1,1,1,1,34
100388,84815,21,0,0,0,0,2,2,2,1,1,1,22
100388,77814,22,0,0,0,0,2,2,2,1,1,1,27
100389,81890,21,0,0,0,0,2,2,2,1,1,1,34
100389,37896,22,0,0,0,0,2,2,2,2,2,2,29
10039,50796,22,0,0,0,0,1,1,1,1,1,1,28
100390,47227,22,0,0,0,0,1,1,1,1,1,1,49
100392,92068,21,0,0,0,0,2,2,2,1,1,1,33
100392,8193,22,0,0,0,0,2,2,2,1,1,1,62
100393,13495,21,1,0,0,0,1,1,1,2,2,2,28
100396,61811,21,0,0,0,0,1,1,1,1,1,1,35
100396,27313,22,0,0,0,0,2,2,2,1,1,1,31
100398,29044,21,0,0,0,0,1,1,1,1,1,1,24
100398,82059,22,0,0,0,0,1,1,1,1,1,1,23
1004,75137,22,0,0,0,0,2,2,2,1,1,1,27
100402,61371,21,0,0,0,0,1,1,1,1,1,1,33
100403,19187,21,0,0,0,0,1,1,1,1,1,1,24
100403,52610,22,0,0,0,0,1,1,1,1,1,1,22
100404,3032,21,0,0,0,0,1,1,1,1,1,1,29
100404,15041,22,0,0,0,0,1,1,1,1,1,1,37
100405,89608,21,0,0,0,0,1,1,1,1,1,1,32
100405,56162,22,0,0,0,0,1,1,1,1,1,1,24
100406,29836,21,0,0,0,0,1,1,1,1,1,1,21
100406,43218,22,0,0,0,0,1,1,1,1,1,1,26
100407,40469,21,0,0,0,0,2,2,2,1,1,1,33
100407,17828,22,0,0,0,0,1,1,1,1,1,1,36
100408,37928,21,0,0,0,0,1,1,1,2,2,2,38
100408,32326,22,0,0,0,0,1,1,1,1,1,1,28
10041,72326,21,1,0,0,0,2,2,2,1,1,1,33
10041,39722,22,0,0,0,0,1,1,1,1,1,1,26
100410,95855,21,0,0,0,0,1,1,1,1,1,1,34
100413,23635,22,0,0,0,0,1,1,1,1,1,1,50
100415,85029,21,4,2,0,0,1,1,1,1,1,1,29
100416,19193,21,0,0,0,0,1,1,1,2,2,2,43
100417,93055,21,1,1,0,0,2,2,2,1,1,1,25
100417,70093,22,1,0,0,0,1,1,1,1,1,1,32
